## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
bewitch	negative	1
bewitched	negative	1
bewitches	negative	1
bewitching	negative	1
bias	negative	1
biased	negative	1
biases	negative	1
biasing	negative	1
biassed	negative	1
biasses	negative	1
biassing	negative	1
bicker	negative	1
bickered	negative	1
bickering	negative	1
bickers	negative	1
bid-rigging	negative	0.25
bitch	negative	1
bitched	negative	1
bitches	negative	1
bitchier	negative	1
bitchiest	negative	1
bitching	negative	1
bitchy	negative	1
biting	negative	1
bitingly	negative	1
bitter	negative	1
bitterest	negative	1
bitterly	negative	1
bitterness	negative	1
bizarre	negative	1
blab	negative	1
blabbed	negative	1
blabber	negative	1
blabbered	negative	1
blabbering	negative	1
blabbers	negative	1
blabbing	negative	1
blabs	negative	1
black	negative	0.25
blacker	negative	0.25
blackest	negative	0.25
blackmail	negative	0.25
blackmailed	negative	0.25
blackmailing	negative	0.25
blackmails	negative	0.25
blah	negative	1
blame	negative	1
blamed	negative	1
blameless	positive	1
blames	negative	1
blameworthier	negative	1
blameworthiest	negative	1
blameworthy	negative	1
blaming	negative	1
bland	negative	1
blander	negative	1
blandest	negative	1
blandish	negative	1
blandished	negative	1
blandishes	negative	1
blandishing	negative	1
blaspheme	negative	1
blasphemed	negative	1
blasphemes	negative	1
blasphemies	negative	1
blaspheming	negative	1
blasphemous	negative	1
blasphemy	negative	1
blast	negative	0.25
blasted	negative	0.25
blasting	negative	0.25
blasts	negative	0.25
blatant	negative	1
blatantly	negative	1
blather	negative	1
blathered	negative	1
blathering	negative	1
blathers	negative	1
bleak	negative	1
bleaker	negative	1
bleakest	negative	1
bleakly	negative	1
bleakness	negative	1
bled	negative	0.25
bleed	negative	0.25
bleeding	negative	0.25
bleeds	negative	0.25
blemish	negative	0.25
blemished	negative	0.25
blemishes	negative	0.25
blemishing	negative	0.25
bless	positive	1
blessed	positive	1
blesses	positive	1
blessing	positive	1
blessings	positive	1
blest	positive	1
blew	negative	0.25
blind	negative	0.25
blind-side	negative	1
blind-sided	negative	1
blind-sides	negative	1
blind-siding	negative	1
blinded	negative	0.25
blinder	negative	0.25
blindesides	negative	1
blindest	negative	0.25
blinding	negative	1
blindingly	negative	1
blindness	negative	0.25
blinds	negative	0.25
blindside	negative	1
blindsided	negative	1
blindsiding	negative	1
bliss	positive	1
blisses	positive	1
blissful	positive	1
blissfully	positive	1
blister	negative	1
blistered	negative	1
blistering	negative	1
blisters	negative	1
blithe	positive	1
blither	positive	1
blithest	positive	1
bloated	negative	1
block	negative	0.25
blocked	negative	0.25
blockhead	negative	1
blockheads	negative	1
blocking	negative	0.25
blocks	negative	0.25
blood	negative	0.25
bloodier	negative	0.25
bloodiest	negative	0.25
bloods	negative	0.25
bloodshed	negative	1
bloodsheds	negative	1
bloodthirsty	negative	1
bloody	negative	0.25
bloom	positive	0.25
bloomed	positive	0.25
blooming	positive	0.25
blooms	positive	0.25
blossom	positive	0.25
blossomed	positive	0.25
blossoming	positive	0.25
blossoms	positive	0.25
blow	negative	0.25
blowing	negative	0.25
blown	negative	0.25
blows	negative	0.25
blunder	negative	1
blundered	negative	1
blundering	negative	1
blunders	negative	1
blunt	negative	1
blunter	negative	1
bluntest	negative	1
blur	negative	0.25
blurred	negative	0.25
blurring	negative	0.25
blurs	negative	0.25
blurt	negative	1
blurted	negative	1
blurting	negative	1
blurts	negative	1
boastful	negative	1
boggle	negative	1
boggled	negative	1
boggles	negative	1
boggling	negative	1
bogus	negative	1
boil	negative	1
boiled	negative	1
boiling	negative	1
boils	negative	1
boisterous	negative	1
bold	positive	1
bolder	positive	1
boldest	positive	1
boldly	positive	1
boldness	positive	1
bolster	positive	1
bolstered	positive	1
bolstering	positive	1
bolsters	positive	1
bomb	negative	0.25
bombard	negative	0.25
